First_Column,ANAK JALANAN,TUNA SUSILA,PENGEMIS,GELANDANGAN DAN GELANDANGAN PSIKOTIK,ANAK BALITA TERLANTAR,ANAK TERLANTAR,ANAK BERHADAPAN DENGAN HUKUM,ANAK DENGAN KEDISABILITASAN,ANAK YANG MENJADI KORBAN TEINDAK KEKERASAN ATAU YANG DIPERLAKUKAN SALAH,ANAK YANG MEMERLUKAN PERLINDUNGAN KHUSUS,LANJUT USIA TERLANTAR,PENYANDANG DISABILITAS & BEKAS PENDERITA PENYAKIT KRONIS,PEMULUNG,KELOMPOK MINORITAS,BEKAS WARGA BINAAN LEMBAGA PEMASYARAKATAN,ORANG DENGAN HIV,ORANG DENGAN AIDS,KORBAN PENYALAGUNAAN NAPZA,KORBAN TRAFFICKING,KORBAN TINDAK KEKERASAN ATAU YANG DIPERLAKUKAN SALAH,PEKERJA MIGRAN BERMASALAH SOSIAL,KORBAN BENCAN ALAM,KORBAN BENCANA SOSIAL / PENGUNGSI,PEREMPUAN RAWAN SOSIAL EKONOMI,KELUARGA BERMASALAH SOSIAL PSIKOLOGIS,MASYARAKAT DAERAH TERTINGGAL DAN TERPENCIL
Pacitan,27.5,33.0,6.0,32.0,114.5,565.5,4.0,992.0,2.0,25.5,1499.0,4150.0,130.0,147.5,115.0,39.0,79.0,8.0,67.5,97.5,490.0,99.0,371.0,1859.0,104.0,139.0
Ponorogo,52.0,88.5,153.0,114.0,562.0,983.0,27.0,1392.0,40.0,3.0,7916.0,5033.0,267.0,92.0,163.0,92.0,384.0,27.0,133.0,108.0,432.0,440.0,724.0,11.0,3.0,267.0
Trenggalek,16.0,80.0,68.0,42.0,4471.0,19633.0,20.0,673.0,38.0,111.0,3868.0,4798.0,27.0,12.0,187.0,36.0,108.0,352.0,4.0,46.0,20.0,308.0,10.0,8512.0,102.0,1268.0
Tulungagung,6.0,162.0,32.0,13.0,87.0,323.0,23.0,0.0,2.0,0.0,1918.0,823.0,206.0,147.0,165.0,441.0,747.0,37.0,2.0,51.0,4.0,550.0,1.0,2260.0,60.0,141.5
Blitar,46.0,40.0,88.0,75.0,94.0,188.0,74.0,1772.0,14.0,41.0,619.0,4539.0,229.0,26.0,636.0,83.0,866.0,206.0,11.0,21.0,57.0,595.0,22.0,1397.0,237.0,141.5
Kediri,184.0,107.0,154.0,132.0,8.0,406.0,68.0,1829.0,29.0,52.0,2507.0,3965.0,490.0,88.0,715.0,222.0,501.0,233.0,9.0,86.0,62.0,167.0,13.0,10686.0,750.0,642.0
Malang,210.0,84.0,220.0,139.0,57.0,4788.0,6.0,453.0,27.0,18.0,4541.0,22041.0,463.0,71.0,1418.0,234.0,1414.0,135.0,6.0,5.0,50.0,285.0,21.0,12438.0,907.0,663.0
Lumajang,15.0,116.0,97.0,6.0,21.0,147.0,20.0,632.0,21.0,13.0,1811.0,3848.0,124.0,185.0,314.0,164.0,200.0,110.0,2.0,30.0,131.0,130.0,23.0,909.0,182.0,141.5
Jember,171.0,172.0,332.0,265.0,142.0,3062.0,47.0,2590.0,31.0,46.0,16288.0,4185.0,776.0,489.0,709.0,639.0,890.0,555.0,21.0,120.0,101.0,382.0,44.0,6012.0,412.5,141.5
Banyuwangi,33.5,61.5,297.0,267.0,333.0,1108.0,4.0,3001.0,13.0,42.0,9393.0,3493.0,540.5,30.5,84.0,361.0,962.0,288.0,6.0,37.0,0.0,590.0,10.0,5684.0,298.0,1310.0
